Начало простоя,Конец простоя,Reason 3 (ID),Reason 3 (ENG),Описание,Длительность,Название детали
2020-01-08 02:04:44,2020-01-08 02:08:29,2010004.0,Breakdowns,Замена двух дросселей на наполнителе №17,4,Дроссели - №17
2020-01-28 09:11:45,2020-01-28 09:20:46,2010004.0,Breakdowns,Замена первого ролика на столике №1,9,Ролик - №1
2020-02-05 10:40:01,2020-02-05 10:42:23,2010004.0,Breakdowns,Замена нагнетательного дросселя №89,2,Дроссель - №89
2020-02-06 10:59:58,2020-02-06 11:04:09,2010004.0,Breakdowns,Замена нагнетательного дросселя №105,4,Дроссель - №105
2020-02-06 19:02:48,2020-02-06 19:05:07,2010004.0,Breakdowns,Замена тормозной пластины №76,2,Тормозная пластина - №76
2020-02-08 04:00:32,2020-02-08 04:07:14,2010004.0,Breakdowns,устранение недоливов на 23 наполнителе.замена пластины и дросселя СО2.,7,Пластина и дроссель -
2020-02-27 04:35:28,2020-02-27 04:37:37,2010004.0,Breakdowns,Не закрываются краны 34.44.46,2,-
2020-02-28 20:47:37,2020-02-28 20:51:43,2010004.0,Breakdowns,Замена тормозной пластины. №93.,4,Тормозная пластина - №93
2020-02-28 21:27:07,2020-02-28 21:31:19,2010004.0,Breakdowns,Замена тормозной пластины. №66.,4,Тормозная пластина - №66
2020-03-04 03:57:44,2020-03-04 04:01:11,2010004.0,Breakdowns,Замена дросселей №52,3,Дроссели - №52
2020-03-16 10:26:16,2020-03-16 10:36:05,2010004.0,Breakdowns,Замена дросселей №98,7,Дроссели - №98
2020-03-16 10:54:31,2020-03-16 10:58:44,2010004.0,Breakdowns,Замена тормозной пластины  №98,4,Тормозная пластина - №98
2020-03-24 09:55:33,2020-03-24 10:00:00,2010004.0,Breakdowns,Замена прижимного колпака №105,4,Прижимной колпак - №105
2020-03-24 10:33:28,2020-03-24 10:38:17,2010004.0,Breakdowns,Замена дросселей №105,5,Дроссели - №105
2020-03-24 10:52:25,2020-03-24 10:56:54,2010004.0,Breakdowns,Замена тормозной пластины №105,4,Тормозная пластина - №105
2020-03-25 09:07:01,2020-03-25 09:11:37,2010004.0,Breakdowns,Замена дросселей №93,5,Дроссели - №93
2020-03-30 02:34:05,2020-03-30 02:40:52,2010004.0,Breakdowns,залип дроссель 72 нап,7,Дроссель - №72
2020-04-01 00:53:40,2020-04-01 00:59:00,2010004.0,Breakdowns,Замена тормозной пластины. №93,5,Тормозная пластина - №93
2020-04-08 21:31:21,2020-04-08 21:37:13,2010003.0,Поломки/КИП,замена домино,6,Домино -
2020-04-08 22:11:07,2020-04-08 22:14:33,2010004.0,Breakdowns,замена тормозной пластины 101,3,Тормозная пластина - №101
2020-04-08 22:28:07,2020-04-08 22:32:56,2010004.0,Breakdowns,замепна дросселя верхний и нижний 101,5,Дроссель - №101
2020-04-08 22:43:19,2020-04-08 22:49:10,2010004.0,Breakdowns,замена приждимного колокола 101,6,Прижимной колокол - №101
2020-04-09 02:50:17,2020-04-09 02:54:22,2010004.0,Breakdowns,замена прижимного колокола 99,4,Прижимной колокол - №99
2020-04-18 18:41:17,2020-04-18 18:48:02,2010004.0,Breakdowns,"Замена тормозных пластин №№ 41, 48",7,"Тормозные пластины - №41, 48"
2020-04-30 00:26:13,2020-04-30 00:29:38,2010004.0,Breakdowns,Замена прижимной резинки на колпаке наполнителя №70,3,Прижимная резинка - №70
2020-04-30 00:31:48,2020-04-30 00:34:02,2010004.0,Breakdowns,Замена нагнетательного дросселя №50,2,Дроссель - №50
2020-04-30 00:35:26,2020-04-30 00:41:34,2010004.0,Breakdowns,Замена тормозной пластины №50,6,Тормозная пластина - №50
2020-04-30 01:23:52,2020-04-30 01:27:13,2010004.0,Breakdowns,Замена тормозной пластины №41,3,Тормозная пластина - №41
2020-05-07 10:42:51,2020-05-07 10:47:34,2010004.0,Breakdowns,Не закрывался кран № 69 Замена тормозной пластины.,5,Тормозная пластина -
2020-05-07 10:53:56,2020-05-07 10:59:06,2010004.0,Breakdowns,Пустая банка №106. Замена сбросного углекислотного дросселя и уплотнительной резины.,5,Дроссель и уплотнительная резина - №106
2020-05-07 23:01:49,2020-05-07 23:04:38,2010004.0,Breakdowns,Замена обоих дросселей №80,3,Дроссели - №80
2020-05-08 03:45:27,2020-05-08 03:49:06,2010004.0,Breakdowns,Замена прижимного колпака №80,4,Прижимной колпак - №80
2020-05-14 23:06:22,2020-05-14 23:11:47,2010003.0,Поломки/КИП,Не отрабатывает датчик на мятую банку,5,-
2020-05-16 14:11:27,2020-05-16 14:13:42,2010004.0,Breakdowns,Недолив №21. Замена тормозной пластины.,2,Тормозная пластина - №21
2020-05-23 20:12:35,2020-05-23 20:17:46,2010004.0,Breakdowns,Замена тормозной пластины №35,5,Тормозная пластина - №35
